hierarchy;SIDC;fullpath;name;icon-png;icon-svg
1.X.2.1.2.3.1;S*A*MHUL--;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (LIGHT);UTILITY (LIGHT);1.X.2.1.2.3.1.png;1.X.2.1.2.3.1.svg
1.X.2.1.2.3.2;S*A*MHUM--;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (MEDIUM);UTILITY (MEDIUM);1.X.2.1.2.3.2.png;1.X.2.1.2.3.2.svg
1.X.2.1.2.3.3;S*A*MHUH--;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (HEAVY);UTILITY (HEAVY);1.X.2.1.2.3.3.png;1.X.2.1.2.3.3.svg
1.X.2.1.2.4;S*A*MHI---;AIR TRACK|MILITARY|ROTARY WING|MINE COUNTER MEASURES;MINE COUNTER MEASURES;1.X.2.1.2.4.png;1.X.2.1.2.4.svg
1.X.2.1.2.5;S*A*MHH---;AIR TRACK|MILITARY|ROTARY WING|COMBAT SEARCH AND RESCUE (CSAR);COMBAT SEARCH AND RESCUE (CSAR);1.X.2.1.2.5.png;1.X.2.1.2.5.svg
1.X.2.1.2.6;S*A*MHR---;AIR TRACK|MILITARY|ROTARY WING|RECONNAISSANCE;RECONNAISSANCE;1.X.2.1.2.6.png;1.X.2.1.2.6.svg
1.X.2.1.2.7;S*A*MHQ---;AIR TRACK|MILITARY|ROTARY WING|DRONE (RPV/UAV);DRONE (RPV/UAV);1.X.2.1.2.7.png;1.X.2.1.2.7.svg
1.X.2.1.2.8;S*A*MHC---;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT);CARGO AIRLIFT (TRANSPORT);1.X.2.1.2.8.png;1.X.2.1.2.8.svg
1.X.2.1.2.8.1;S*A*MHCL--;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (LIGHT);CARGO AIRLIFT (LIGHT);1.X.2.1.2.8.1.png;1.X.2.1.2.8.1.svg
1.X.2.1.2.8.2;S*A*MHCM--;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (MEDIUM);CARGO AIRLIFT (MEDIUM);1.X.2.1.2.8.2.png;1.X.2.1.2.8.2.svg
1.X.2.1.2.8.3;S*A*MHCH--;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (HEAVY);CARGO AIRLIFT (HEAVY);1.X.2.1.2.8.3.png;1.X.2.1.2.8.3.svg
